stock_id,stock_name,exchange,industry,xueqiu_symbol,active
000993,闽东电力,SZ,D 水电煤气,SZ000993,1
000995,皇台酒业,SZ,C 制造业,SZ000995,1
000997,新大陆,SZ,I 信息技术,SZ000997,1
000998,隆平高科,SZ,A 农林牧渔,SZ000998,1
000999,华润三九,SZ,C 制造业,SZ000999,1
001201,东瑞股份,SZ,A 农林牧渔,SZ001201,1
001202,炬申股份,SZ,G 运输仓储,SZ001202,1
001203,大中矿业,SZ,B 采矿业,SZ001203,1
001205,盛航股份,SZ,G 运输仓储,SZ001205,1
001206,依依股份,SZ,C 制造业,SZ001206,1
001207,联科科技,SZ,C 制造业,SZ001207,1
001208,华菱线缆,SZ,C 制造业,SZ001208,1
001209,洪兴股份,SZ,C 制造业,SZ001209,1
001210,金房能源,SZ,D 水电煤气,SZ001210,1
001211,双枪科技,SZ,C 制造业,SZ001211,1
001212,中旗新材,SZ,C 制造业,SZ001212,1
001213,中铁特货,SZ,G 运输仓储,SZ001213,1
001215,千味央厨,SZ,C 制造业,SZ001215,1
001216,华瓷股份,SZ,C 制造业,SZ001216,1
001217,华尔泰,SZ,C 制造业,SZ001217,1
001218,丽臣实业,SZ,C 制造业,SZ001218,1
001219,青岛食品,SZ,C 制造业,SZ001219,1
001220,世盟股份,SZ,G 运输仓储,SZ001220,1
001221,悍高集团,SZ,C 制造业,SZ001221,1
001222,源飞宠物,SZ,C 制造业,SZ001222,1
001223,欧克科技,SZ,C 制造业,SZ001223,1
001225,和泰机电,SZ,C 制造业,SZ001225,1
001226,拓山重工,SZ,C 制造业,SZ001226,1
001227,兰州银行,SZ,J 金融业,SZ001227,1
001228,永泰运,SZ,L 商务服务,SZ001228,1
001229,魅视科技,SZ,C 制造业,SZ001229,1
001230,劲旅环境,SZ,N 公共环保,SZ001230,1
001231,农心科技,SZ,C 制造业,SZ001231,1
001232,C嘉立创,SZ,C 制造业,SZ001232,1
001233,海安集团,SZ,C 制造业,SZ001233,1
001234,泰慕士,SZ,C 制造业,SZ001234,1
001236,弘业期货,SZ,J 金融业,SZ001236,1
001237,惠康科技,SZ,C 制造业,SZ001237,1
001238,浙江正特,SZ,C 制造业,SZ001238,1
001239,永达股份,SZ,C 制造业,SZ001239,1
001248,华润新能源,SZ,D 水电煤气,SZ001248,1
001255,博菲电气,SZ,C 制造业,SZ001255,1
001256,炜冈科技,SZ,C 制造业,SZ001256,1
001257,盛龙股份,SZ,B 采矿业,SZ001257,1
001258,立新能源,SZ,D 水电煤气,SZ001258,1
001259,利仁科技,SZ,C 制造业,SZ001259,1
001260,坤泰股份,SZ,C 制造业,SZ001260,1
